"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","EGY.FA63.NUM.A","OBS_VALUE","Egypt, Arab Republic of","Active mobile money accounts","Number","Annual","Units","","","","","","","","","1148070","2361647","5421573","8046190","13804866","20327031"
"IMF.STA:FAS(4.0.0)","EGY.FA26N.PTKM2_NUM.A","OBS_VALUE","Egypt, Arab Republic of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","2.644030338038073","2.670149178763373","2.717364006228339","2.769601687678939","2.855994776231855","2.984579838264102","3.128233462253252","3.264855090662514","4.433170927721131","4.590888542870059","4.699382188959767","4.688331910191371","4.740569591641971","4.832990104977648"
"IMF.STA:FAS(4.0.0)","LSO.FA63.NUM.A","OBS_VALUE","Lesotho, Kingdom of","Active mobile money accounts","Number","Annual","Units","","","14078","87200","210914","347786","411357","670787","816607","882212","1131945","1280350","1398563","1299483"
"IMF.STA:FAS(4.0.0)","LSO.FA66.NUM.A","OBS_VALUE","Lesotho, Kingdom of","Mobile money transactions (during the reference year)","Number","Annual","Units","","","588904","6084544","16761604","29686875","40336227","55662032.97","58234678","62740238","72709307","85647321","95156088","112678657"
"IMF.STA:FAS(4.0.0)","LSO.FA26N.PTKM2_NUM.A","OBS_VALUE","Lesotho, Kingdom of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","1.449275362318841","1.449275362318841","1.58102766798419","1.58102766798419","1.679841897233202","1.745718050065876","1.745718050065876","1.745718050065876","1.778656126482213","1.811594202898551","1.778656126482213","1.778656126482213","1.778656126482213","1.778656126482213"
"IMF.STA:FAS(4.0.0)","LSO.FA57.NUM.A","OBS_VALUE","Lesotho, Kingdom of","Registered mobile money agent outlets","Number","Annual","Units","","","1445","2502","3534","6323","7750","9249","11792","18197","22063","26035","30949","48069"
"IMF.STA:FAS(4.0.0)","CPV.FA63.NUM.A","OBS_VALUE","Cabo Verde","Active mobile money accounts","Number","Annual","Units","","","","","","","","","","","","235797","254693","289305"
"IMF.STA:FAS(4.0.0)","MRT.FA26N.PTKM2_NUM.A","OBS_VALUE","Mauritania, Islamic Republic of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.08731929756476181","0.1009022994081692","0.1484428058600951","0.1591151644513437","0.1726981662947511","0.2076258853206559","0.2144173862423596","0.2794217522072378","0.2997962549723489","0.3046473270592801","0.3172601144853013","0.3046473270592801","0.3376346172504123","0.3541282623459785"
"IMF.STA:FAS(4.0.0)","CPV.FA26N.PTKM2_NUM.A","OBS_VALUE","Cabo Verde","Number of commercial bank branches","Per 1,000 square km","Annual","Units","25.80645161290323","29.52853598014888","30.02481389578164","30.27295285359801","30.76923076923077","31.01736972704715","29.52853598014888","31.26550868486352","31.26550868486352","30.76923076923077","32.25806451612903","33.00248138957816","33.00248138957816","33.7468982630273"
"IMF.STA:FAS(4.0.0)","CPV.FA66.NUM.A","OBS_VALUE","Cabo Verde","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","","","","","","",""
